age,unit,indic_em,sex,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
Y20-64,PC_POP,EMP_LFS,F,AT	64.0 	65.2 	66.2 b	67.6 	68.2 	68.8 	69.2 	69.6 	70.0 	70.1 	70.2 	70.9 	71.4 
Y20-64,PC_POP,EMP_LFS,F,BE	58.6 	58.8 	60.3 	61.3 	61.0 	61.6 	61.5 	61.7 	62.1 	62.9 	63.0 	63.0 	63.6 b
Y20-64,PC_POP,EMP_LFS,F,BG	57.1 	60.4 	63.5 	65.4 	64.0 	60.8 b	59.8 b	60.2 	60.7 	62.0 	63.8 	64.0 	67.3 
Y20-64,PC_POP,EMP_LFS,F,CH	: 	: 	: 	: 	: 	73.2 b	74.6 	75.3 	75.3 	76.2 	76.8 	77.5 	77.4 
Y20-64,PC_POP,EMP_LFS,F,CY	63.8 	65.9 	67.7 	68.2 	68.3 b	68.8 	67.7 	64.8 	62.2 	63.9 	64.0 	64.1 	66.2 
Y20-64,PC_POP,EMP_LFS,F,CZ	61.3 	61.8 	62.4 	62.5 	61.4 	60.9 	61.7 b	62.5 	63.8 	64.7 	66.4 	68.6 	70.5 
Y20-64,PC_POP,EMP_LFS,F,DE	63.1 b	65.0 	66.7 	67.8 	68.7 	69.7 b	71.3 b	71.6 	72.5 	73.1 	73.6 	74.5 	75.2 
Y20-64,PC_POP,EMP_LFS,F,DK	73.7 	74.8 	74.7 	75.5 	74.5 	73.0 	72.4 	72.2 	72.4 	72.2 	72.6 	74.0 b	73.7 b
Y20-64,PC_POP,EMP_LFS,F,EA18	59.2 	60.5 	61.6 	62.4 	61.9 	61.8 	62.0 	62.0 	62.0 	62.6 	63.3 	64.3 	65.3 
Y20-64,PC_POP,EMP_LFS,F,EA19	59.3 	60.5 	61.7 	62.4 	61.9 	61.8 	62.0 	62.0 	62.0 	62.7 	63.4 	64.4 	65.4 
Y20-64,PC_POP,EMP_LFS,F,EE	69.7 	72.5 	72.6 	72.9 	69.0 	65.9 	67.8 	69.4 	70.1 	70.6 	72.6 	72.6 	75.1 
Y20-64,PC_POP,EMP_LFS,F,EL	49.7 	51.3 	51.7 	52.6 	52.9 b	51.8 	48.7 	45.2 	43.3 	44.3 	46.0 	46.8 	48.0 
Y20-64,PC_POP,EMP_LFS,F,ES	55.1 b	57.1 	58.6 	58.9 	56.8 	56.3 	56.1 	54.6 	53.8 	54.8 	56.4 	58.1 	59.6 
Y20-64,PC_POP,EMP_LFS,F,EU27	60.1 	61.2 	62.1 	62.9 	62.3 	62.2 	62.3 	62.5 	62.7 	63.5 	64.4 	65.4 	66.5 
Y20-64,PC_POP,EMP_LFS,F,EU28	60.0 	61.1 	62.1 	62.8 	62.3 	62.1 	62.2 	62.4 	62.6 	63.5 	64.3 	65.3 	66.5 
Y20-64,PC_POP,EMP_LFS,F,FI	70.8 	71.5 	72.5 	73.1 	72.4 	71.5 	71.9 	72.5 	71.9 	72.1 	71.8 	71.7 	72.4 
Y20-64,PC_POP,EMP_LFS,F,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	65.6 	66.0 	66.3 	66.7 
Y20-64,PC_POP,EMP_LFS,F,FX	63.7 	63.9 	64.9 	65.5 	65.0 	64.9 	64.7 	65.1 	65.5 	66.1 	66.5 	66.8 	67.2 
Y20-64,PC_POP,EMP_LFS,F,HR	52.8 e	53.6 e	55.9 	57.0 	58.0 	56.4 	53.6 	52.6 	52.8 	54.2 	55.9 	56.6 	58.3 
Y20-64,PC_POP,EMP_LFS,F,HU	55.6 	55.6 	55.2 	54.8 	54.0 	54.6 	54.7 	56.2 	56.9 	60.2 	62.1 	64.6 	65.7 
Y20-64,PC_POP,EMP_LFS,F,IE	63.7 	64.6 	65.8 b	65.4 	62.9 	61.1 	60.2 	60.2 	61.3 	62.3 	63.8 	65.4 	67.0 
Y20-64,PC_POP,EMP_LFS,F,IS	81.2 	81.8 	81.4 	80.4 	77.8 	77.6 	77.9 	79.1 	79.5 	81.7 	83.3 	84.4 	84.5 
Y20-64,PC_POP,EMP_LFS,F,IT	48.5 	49.6 	49.9 	50.6 	49.7 	49.5 	49.9 	50.5 	49.9 	50.3 	50.6 	51.6 	52.5 
Y20-64,PC_POP,EMP_LFS,F,LT	66.6 	68.0 	69.1 	68.7 	67.2 	65.0 	66.6 	67.9 	68.6 	70.6 	72.2 	74.3 	75.5 
Y20-64,PC_POP,EMP_LFS,F,LU	58.4 	59.4 	61.0 b	60.1 	61.5 b	62.0 	61.9 	64.1 	63.9 	65.5 	65.0 b	65.1 	67.5 
Y20-64,PC_POP,EMP_LFS,F,LV	64.5 	68.4 	70.3 	71.9 	66.5 	64.5 	65.3 	66.4 	67.7 	68.5 	70.5 	71.8 	72.7 
Y20-64,PC_POP,EMP_LFS,F,ME	: 	: 	: 	: 	: 	: 	44.4 	46.2 	47.5 	49.7 	51.6 	51.3 	51.4 
Y20-64,PC_POP,EMP_LFS,F,MK	: 	34.0 	35.8 	36.2 	37.1 	37.5 	38.8 	38.7 	40.7 	40.8 	42.1 	42.5 	43.7 
Y20-64,PC_POP,EMP_LFS,F,MT	34.8 b	35.7 	37.7 	39.4 	40.0 	41.6 	43.8 	48.0 	51.7 	54.3 	55.3 	58.0 	60.6 
Y20-64,PC_POP,EMP_LFS,F,NL	67.6 	69.0 	70.7 	72.2 	72.7 	70.8 b	70.4 b	71.0 	70.6 	69.7 	70.8 	71.6 	72.8 
Y20-64,PC_POP,EMP_LFS,F,NO	74.6 	75.7 b	77.5 	78.6 	77.9 	76.9 	77.1 	77.3 	77.1 	77.1 	76.7 	76.7 	76.2 
Y20-64,PC_POP,EMP_LFS,F,PL	51.7 	53.1 	55.5 	57.3 	57.6 	57.3 b	57.2 	57.5 	57.6 	59.4 	60.9 	62.2 	63.6 
Y20-64,PC_POP,EMP_LFS,F,PT	66.0 	66.3 	66.3 	67.1 	66.1 	65.6 	64.6 b	63.0 	62.3 	64.2 	65.9 	67.4 	69.8 
Y20-64,PC_POP,EMP_LFS,F,RO	56.9 	58.5 	57.9 	57.3 	56.3 	56.5 b	56.2 	56.7 	56.5 	57.3 	57.2 	57.4 	60.2 
Y20-64,PC_POP,EMP_LFS,F,SE	75.2 b	75.8 	77.1 	77.2 	75.7 	75.0 	76.5 	76.8 	77.2 	77.6 	78.3 	79.2 	79.8 
Y20-64,PC_POP,EMP_LFS,F,SI	66.2 	66.5 	67.1 	68.5 	67.9 	66.5 	64.8 	64.6 	63.0 	63.6 	64.7 	66.7 	69.7 
Y20-64,PC_POP,EMP_LFS,F,SK	56.7 	57.5 	58.7 	60.3 	58.2 	57.4 	57.4 b	57.3 	57.8 	58.6 	60.3 	62.7 	64.7 
Y20-64,PC_POP,EMP_LFS,F,TR	: 	24.0 	24.2 	24.9 	25.8 	28.0 	29.7 	30.9 	31.8 	31.6 b	32.5 	33.2 	34.5 
Y20-64,PC_POP,EMP_LFS,F,UK	68.5 	68.6 	68.4 b	68.8 b	68.2 	67.9 	67.8 	68.4 	69.3 	70.6 	71.3 	72.1 	73.1 
Y20-64,PC_POP,EMP_LFS,M,AT	76.9 	78.1 	79.5 b	80.1 	78.7 	79.0 	79.2 	79.3 	79.1 	78.3 	78.4 	78.7 	79.4 
Y20-64,PC_POP,EMP_LFS,M,BE	74.3 	74.0 	75.0 	74.7 	73.2 	73.5 	73.0 	72.7 	72.3 	71.6 	71.3 	72.3 	73.4 b
Y20-64,PC_POP,EMP_LFS,M,BG	66.8 	69.9 	73.4 	76.1 	73.8 	68.6 b	66.0 b	65.8 	66.4 	68.1 	70.4 	71.3 	75.3 
Y20-64,PC_POP,EMP_LFS,M,CH	: 	: 	: 	: 	: 	86.1 b	86.8 	86.7 	86.2 	86.0 	86.5 	86.5 	86.8 
